status,Calo,Carbohydrate,Protein,Fat,Fiber,Sodium,VitaminC,Purine,Sugar,Cholesterol,Iron
Bệnh tiểu đường,200,25,8,7,6,0.15,0.02,0.03,5,0.04,0.002
Bệnh mỡ trong máu,250,30,10,10,5,0.2,0.015,0.05,5,0.03,0.0025
Thừa cân,300,40,12,8,7,0.25,0.025,0.04,6,0.05,0.003
Thiếu cân,400,50,20,15,8,0.3,0.03,0.06,8,0.06,0.004
Cao huyết áp,250,35,12,8,6,0.15,0.02,0.04,5,0.04,0.003
Thiếu máu,300,45,15,8,7,0.18,0.04,0.02,7,0.05,0.0045
Tim mạch,250,35,12,8,6,0.2,0.025,0.04,6,0.035,0.0035
Tai biến mạch máu não,200,30,10,6,5,0.15,0.025,0.03,4,0.03,0.003
Xơ gan,350,40,15,12,5,0.25,0.02,0.05,7,0.06,0.0035
Viêm phổi,250,35,12,7,6,0.18,0.02,0.03,5,0.04,0.003
Bình Thường,300,40,15,10,8,0.2,0.03,0.04,6,0.05,0.003
Bệnh gút,200,25,8,7,6,0.15,0.02,0.07,5,0.04,0.002
